"Place","Geo","Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000"
"Maine","State","969,265","993,722","1,125,043","1,227,928","1,274,923"
"Androscoggin County, Maine","County","86,312","91,279","99,509","105,259","103,793"
"Aroostook County, Maine","County","106,064","94,078","91,344","86,936","73,938"
"Cumberland County, Maine","County","182,751","192,528","215,789","243,135","265,612"
"Franklin County, Maine","County","20,069","22,444","27,447","29,008","29,467"
"Hancock County, Maine","County","32,293","34,590","41,781","46,948","51,791"
"Kennebec County, Maine","County","89,150","95,306","109,889","115,904","117,114"
"Knox County, Maine","County","28,575","29,013","32,941","36,310","39,618"
"Lincoln County, Maine","County","18,497","20,537","25,691","30,357","33,616"
"Oxford County, Maine","County","44,345","43,457","49,043","52,602","54,755"
"Penobscot County, Maine","County","126,346","125,393","137,015","146,601","144,919"
"Piscataquis County, Maine","County","17,379","16,285","17,634","18,653","17,235"
"Sagadahoc County, Maine","County","22,793","23,452","28,795","33,535","35,214"
"Somerset County, Maine","County","39,749","40,597","45,049","49,767","50,888"
"Waldo County, Maine","County","22,632","23,328","28,414","33,018","36,280"
"Washington County, Maine","County","32,908","29,859","34,963","35,308","33,941"
"York County, Maine","County","99,402","111,576","139,739","164,587","186,742"
"Auburn city, Androscoggin County, Maine","Town","24,449","24,151","23,128","24,309","23,203"
"Durham town, Androscoggin County, Maine","Town","1,086","1,264","2,074","2,842","3,381"
"Greene town, Androscoggin County, Maine","Town","1,226","1,772","3,037","3,661","4,076"
"Leeds town, Androscoggin County, Maine","Town","807","1,031","1,463","1,669","2,001"
"Lewiston city, Androscoggin County, Maine","Town","40,804","41,779","40,481","39,757","35,690"
"Lisbon town, Androscoggin  County, Maine","Town","5,042","6,544","8,769","9,457","9,077"
"Livermore town, Androscoggin  County, Maine","Town","1,363","1,610","1,826","1,950","2,106"
"Livermore Falls town, Androscoggin  County, Maine","Town","3,343","3,450","3,572","3,455","3,227"
"Mechanic Falls town, Androscoggin  County, Maine","Town","2,195","2,193","2,616","2,919","3,138"
"Minot town, Androscoggin County, Maine","Town","780","919","1,631","1,664","2,248"
"Poland town, Androscoggin County, Maine","Town","1,537","2,015","3,578","4,342","4,866"
"Sabattus town, Androscoggin County, Maine","Town","1,302","1,681","3,081","3,696","4,486"
"Turner town, Androscoggin County, Maine","Town","1,890","2,246","3,539","4,315","4,972"
"Wales town, Androscoggin County, Maine","Town","488","624","862","1,223","1,322"
"Allagash town, Aroostook County, Maine","Town","557","456","448","359","277"
"Amity town, Aroostook County, Maine","Town","206","156","168","186","199"
"Ashland town, Aroostook County, Maine","Town","1,980","1,761","1,865","1,542","1,474"
"Bancroft town, Aroostook County, Maine","Town","94","53","61","66","61"
"Blaine town, Aroostook County, Maine","Town","945","903","922","784","806"
"Bridgewater town, Aroostook County, Maine","Town","999","895","742","647","612"
"Caribou city, Aroostook County, Maine","Town","12,464","10,419","9,916","9,415","8,312"
"Cary plantation,Aroostook County, Maine","Town","208","184","229","235","217"
"Castle Hill town, Aroostook County, Maine","Town","554","519","509","449","454"
